sample_id	beta_value	lable-1.1-1.7
REN-A_156/0.60651/7	0	1
REN-A_6/0.45858/4	0.225231	1
REN-A_146/0.59467/8	0.261088	1
REN-A_16/0.46154/3	0.339664	1
REN-A_86/0.5355/7	0.420256	1
REN-A_26/0.47633/3	0.564421	1
REN-A_166/0.61243/5	0.628303	1
REN+A_55/0.50296/2	0.651822	1
REN-A_176/0.62426/6	0.787378	1
REN+A_161/0.61243/5	0.816328	1
REN-A_46/0.49704/5	0.860521	1
REN-A_116/0.56509/3	0.871529	1
REN+A_165/0.61243/8	0.893466	1
REN+A_80/0.52663/2	0.910199	1
REN-A_186/0.63314/10	0.916397	1
REN+A_191/0.64201/8	0.925157	1
REN+A_183/0.63018/5	0.927804	1
REN+A_131/0.57988/6	0.952342	1
REN+A_91/0.54142/4	1.005307	1
REN+A_188/0.63609/6	1.012867	1
REN+A_175/0.62426/8	1.027028	1
REN+A_138/0.5858/6	1.055013	1
REN+A_98/0.54734/5	1.061822	1
REN+A_151/0.60059/6	1.069518	1
REN+A_81/0.52959/5	1.073141	1
REN+A_88/0.53846/7	1.084962	1
REN+A_145/0.59467/6	1.093386	1
REN+A_200/0.64497/7	1.094677	1
REN+A_140/0.58876/2	1.118709	2
REN+A_103/0.5503/9	1.129313	2
REN+A_20/0.46746/4	1.131336	2
REN+A_150/0.59763/9	1.148078	2
REN+A_163/0.61243/5	1.168014	2
REN+A_105/0.55325/7	1.185969	2
REN+A_143/0.59172/4	1.212957	2
REN+A_60/0.50888/5	1.213711	2
REN+A_61/0.51183/3	1.221274	2
REN+A_141/0.59172/2	1.226234	2
REN+A_63/0.51479/6	1.233966	2
REN+A_93/0.54142/6	1.234592	2
REN+A_135/0.58284/4	1.237293	2
REN+A_71/0.52071/3	1.239699	2
REN+A_21/0.47041/2	1.23999	2
REN+A_75/0.52367/5	1.241372	2
REN+A_85/0.53254/4	1.241442	2
REN+A_110/0.55917/7	1.270105	2
REN+A_1/0.4497/2	1.281093	2
REN+A_100/0.54734/3	1.289596	2
REN+A_185/0.63018/4	1.291737	2
REN+A_171/0.6213/5	1.293141	2
REN+A_11/0.46154/2	1.297207	2
REN+A_45/0.49408/2	1.331468	2
REN+A_65/0.51479/4	1.33407	2
REN+A_48/0.49704/2	1.345017	2
REN+A_78/0.52663/5	1.349256	2
REN-A_66/0.51775/4	1.356274	2
REN+A_168/0.61538/5	1.383879	2
REN+A_68/0.51775/2	1.390525	2
REN+A_118/0.56805/4	1.414372	2
REN+A_13/0.46154/2	1.426877	2
REN+A_33/0.48521/2	1.430101	2
REN+A_95/0.54438/8	1.447989	2
REN+A_108/0.55917/8	1.448427	2
REN+A_40/0.48817/3	1.449578	2
REN+A_115/0.56509/4	1.475215	2
REN+A_5/0.45266/4	1.488395	2
REN+A_198/0.64497/4	1.503452	2
REN+A_41/0.49112/3	1.505357	2
REN+A_155/0.60651/2	1.515608	2
REN+A_70/0.51775/4	1.54702	2
REN+A_125/0.57396/6	1.592212	2
REN+A_15/0.46154/1	1.619975	2
REN+A_111/0.56213/6	1.658567	2
REN+A_53/0.50296/1	1.668589	2
REN+A_90/0.53846/3	1.682423	2
REN+A_8/0.45858/1	1.70554	3
REN+A_101/0.5503/3	1.73514	3
REN+A_148/0.59467/5	1.744556	3
REN+A_123/0.57101/6	1.745144	3
REN+A_58/0.50888/4	1.753384	3
REN+A_18/0.4645/2	1.783038	3
REN+A_10/0.45858/4	1.796064	3
REN+A_43/0.49408/6	1.826286	3
REN+A_181/0.63018/6	1.828683	3
REN+A_31/0.48225/5	1.874761	3
REN+A_50/0.49704/5	1.8767	3
REN+A_38/0.48521/6	1.886756	3
REN+A_193/0.64201/4	1.904579	3
REN+A_28/0.47929/3	1.930322	3
REN+A_195/0.64201/6	1.951823	3
REN+A_121/0.57101/6	1.965646	3
REN+A_128/0.57396/9	1.968759	3
REN+A_133/0.58284/9	1.973847	3
REN+A_3/0.45266/4	1.97559	3
REN+A_153/0.60355/4	2.005575	3
REN+A_173/0.6213/7	2.064013	3
REN-A_126/0.57396/5	2.069533	3
REN+A_120/0.56805/6	2.105993	3
REN+A_25/0.47337/2	2.169825	3
REN+A_51/0.5/5	2.186147	3
REN+A_73/0.52367/3	2.215109	3
REN-A_136/0.5858/5	2.33884	3
REN+A_23/0.47337/2	2.510004	3
REN+A_30/0.47929/3	2.541268	3
REN+A_178/0.62426/6	2.592747	3
REN+A_190/0.63609/8	2.625487	3
REN-A_106/0.55621/4	3.13745	3
REN+A_83/0.52959/5	3.53401	3
REN+A_158/0.60947/7	3.607864	3
REN+A_170/0.61834/6	4.095891	3
REN-A_196/0.64201/6	4.433093	3
REN+A_160/0.60947/6	4.439349	3
REN+A_35/0.48521/6	4.69867	3
REN+A_113/0.56213/4	5.842098	3
REN+A_130/0.57692/3	5.97662	3
REN-A_96/0.54438/7	20.741973	3
REN+A_180/0.62722/6	22.925669	3
