Site_id	Ip_counts	Input_counts	m6a_ratio	Sample_group_id	Beta_level
ENSG00000001167_exon_10_1566_chr6_+_41066660_41066811	377;239;257;296;258;276	26;44;56;22;45;50	7.945;4.346;3.596;8.565;4.09;4.702	1;1;1;2;2;2	0.28;0.72
ENSG00000001167_exon_10_1577_chr6_+_41066671_41066822	385;258;270;306;252;292	26;47;49;22;45;64	8.107;4.388;4.357;8.866;4;3.833	1;1;1;2;2;2	0.278;0.722
ENSG00000001167_exon_10_1588_chr6_+_41066682_41066833	378;250;260;299;250;289	26;47;46;22;45;64	7.968;4.242;4.485;8.655;3.97;3.796	1;1;1;2;2;2	0.123;0.877
ENSG00000001167_exon_10_190_chr6_+_41065284_41065435	236;178;196;318;211;233	42;28;39;36;54;37	3.093;4.958;3.945;5.717;2.807;5.323	1;1;1;2;2;2	0.86;0.14
ENSG00000001167_exon_10_201_chr6_+_41065295_41065446	294;205;219;386;253;261	54;28;39;61;50;41	2.994;5.709;4.395;4.147;3.621;5.357	1;1;1;2;2;2	0.451;0.549
ENSG00000001167_exon_10_211_chr6_+_41065305_41065456	294;206;216;385;251;261	54;28;39;61;50;41	2.994;5.735;4.334;4.136;3.594;5.357	1;1;1;2;2;2	0.827;0.173
ENSG00000001167_exon_10_217_chr6_+_41065311_41065462	293;208;212;382;250;263	54;28;38;78;50;44	2.983;5.816;4.37;3.22;3.581;5.011	1;1;1;2;2;2	0.824;0.176
ENSG00000001167_exon_10_247_chr6_+_41065341_41065492	363;254;264;457;291;310	87;28;40;79;45;32	2.301;7.076;5.155;3.802;4.614;8.005	1;1;1;2;2;2	0.893;0.107
ENSG00000001167_exon_10_286_chr6_+_41065380_41065531	374;266;282;478;299;329	87;28;40;81;45;34	2.371;7.424;5.514;3.878;4.749;8.226	1;1;1;2;2;2	0.953;0.047
ENSG00000001497_exon_3_123_chrX_-_64737988_64738139	543;635;592;582;656;575	230;225;190;328;297;453	1.312;2.262;2.469;1.166;1.584;1.078	1;1;1;2;2;2	0.99;0.01
ENSG00000001497_exon_3_42_chrX_-_64737907_64738058	441;485;475;471;497;428	148;136;117;266;188;258	1.657;2.844;3.204;1.167;1.898;1.409	1;1;1;2;2;2	0.342;0.658
ENSG00000001497_exon_3_93_chrX_-_64737958_64738109	543;632;589;583;652;563	230;207;186;328;296;427	1.312;2.441;2.513;1.168;1.58;1.12	1;1;1;2;2;2	0.991;0.009
ENSG00000001629_exon_24_496_chr7_+_92028020_92028171	252;207;197;323;193;270	30;22;71;56;44;55	4.655;7.334;2.19;3.771;3.139;4.163	1;1;1;2;2;2	0.944;0.056
ENSG00000002330_exon_1_14_chr11_-_64037314_64037465	133;56;53;42;71;84	36;55;108;55;65;53	2.018;0.82;0.389;0.506;0.782;1.343	1;1;1;2;2;2	0.547;0.453
ENSG00000002330_exon_5_72_chr11_-_64051724_64051875	449;217;212;258;233;208	173;82;98;48;53;94	1.439;2.12;1.71;3.513;3.152;1.873	1;1;1;2;2;2	0.119;0.881
ENSG00000003249_exon_1_1007_chr16_-_90072278_90072429	241;155;187;196;167;134	51;31;32;45;26;28	2.59;3.897;4.639;2.84;4.518;3.967	1;1;1;2;2;2	0.967;0.033
ENSG00000003249_exon_1_1080_chr16_-_90072351_90072502	293;203;223;223;181;148	119;29;64;53;19;41	1.362;5.46;2.761;2.752;6.615;3.036	1;1;1;2;2;2	0.527;0.473
ENSG00000003249_exon_1_1174_chr16_-_90072445_90072596	404;254;275;292;232;215	114;38;112;36;50;50	1.967;5.354;1.945;5.25;3.324;3.659	1;1;1;2;2;2	0.417;0.583
ENSG00000003249_exon_1_1195_chr16_-_90072466_90072617	397;234;280;291;232;207	103;47;112;34;50;47	2.129;3.981;1.981;5.53;3.324;3.688	1;1;1;2;2;2	0.886;0.114
ENSG00000003249_exon_1_1238_chr16_-_90072509_90072660	335;193;235;261;190;202	35;57;71;32;55;34	5.204;2.694;2.608;5.278;2.473;5.044	1;1;1;2;2;2	0.545;0.455
ENSG00000003249_exon_1_1275_chr16_-_90072546_90072697	731;491;538;542;419;457	82;123;120;44;124;155	4.893;3.196;3.566;8.018;2.428;2.506	1;1;1;2;2;2	0.998;0.002
ENSG00000003249_exon_1_1317_chr16_-_90072588_90072739	730;489;539;533;430;437	82;128;116;36;118;159	4.886;3.05;3.671;9.584;2.613;2.328	1;1;1;2;2;2	0.085;0.915
