chrom	beta_average	specificity-1.4
REN+A_1/0.4497/2	1.281093092	0
REN+A_10/0.45858/4	1.796063716	1
REN+A_100/0.54734/3	1.289595904	0
REN+A_101/0.5503/3	1.735139798	1
REN+A_103/0.5503/9	1.1293135	0
REN+A_105/0.55325/7	1.185969173	0
REN+A_108/0.55917/8	1.44842744	1
REN+A_11/0.46154/2	1.297207414	0
REN+A_110/0.55917/7	1.270105006	0
REN+A_111/0.56213/6	1.658566819	1
REN+A_113/0.56213/4	5.842098355	1
REN+A_115/0.56509/4	1.475214539	1
REN+A_118/0.56805/4	1.41437194	1
REN+A_120/0.56805/6	2.105992712	1
REN+A_121/0.57101/6	1.965645634	1
REN+A_123/0.57101/6	1.745143607	1
REN+A_125/0.57396/6	1.592212028	1
REN+A_128/0.57396/9	1.968758953	1
REN+A_13/0.46154/2	1.426877385	1
REN+A_130/0.57692/3	5.976619953	1
REN+A_131/0.57988/6	0.952342453	0
REN+A_133/0.58284/9	1.97384739	1
REN+A_135/0.58284/4	1.23729349	0
REN+A_138/0.5858/6	1.055013139	0
REN+A_140/0.58876/2	1.118709382	0
REN+A_141/0.59172/2	1.226233894	0
REN+A_143/0.59172/4	1.212957291	0
REN+A_145/0.59467/6	1.093386124	0
REN+A_148/0.59467/5	1.744556462	1
REN+A_15/0.46154/1	1.619975035	1
REN+A_150/0.59763/9	1.14807751	0
REN+A_151/0.60059/6	1.069518266	0
REN+A_153/0.60355/4	2.005574669	1
REN+A_155/0.60651/2	1.51560785	1
REN+A_158/0.60947/7	3.607863514	1
REN+A_160/0.60947/6	4.43934922	1
REN+A_161/0.61243/5	0.816328121	0
REN+A_163/0.61243/5	1.168013641	0
REN+A_165/0.61243/8	0.893465932	0
REN+A_168/0.61538/5	1.383879137	0
REN+A_170/0.61834/6	4.095891134	1
REN+A_171/0.6213/5	1.293140754	0
REN+A_173/0.6213/7	2.064012721	1
REN+A_175/0.62426/8	1.027028286	0
REN+A_178/0.62426/6	2.592746504	1
REN+A_18/0.4645/2	1.783037531	1
REN+A_180/0.62722/6	22.92566883	1
REN+A_181/0.63018/6	1.828682877	1
REN+A_183/0.63018/5	0.927804063	0
REN+A_185/0.63018/4	1.291737435	0
REN+A_188/0.63609/6	1.012866822	0
REN+A_190/0.63609/8	2.625487093	1
REN+A_191/0.64201/8	0.92515669	0
REN+A_193/0.64201/4	1.90457887	1
REN+A_195/0.64201/6	1.951823019	1
REN+A_198/0.64497/4	1.503451898	1
REN+A_20/0.46746/4	1.131335973	0
REN+A_200/0.64497/7	1.094676838	0
REN+A_21/0.47041/2	1.239989653	0
REN+A_23/0.47337/2	2.510004132	1
REN+A_25/0.47337/2	2.16982464	1
REN+A_28/0.47929/3	1.930321748	1
REN+A_3/0.45266/4	1.975589513	1
REN+A_30/0.47929/3	2.541268157	1
REN+A_31/0.48225/5	1.874761048	1
REN+A_33/0.48521/2	1.430100936	1
REN+A_35/0.48521/6	4.698670233	1
REN+A_38/0.48521/6	1.886756298	1
REN+A_40/0.48817/3	1.449577716	1
REN+A_41/0.49112/3	1.50535744	1
REN+A_43/0.49408/6	1.826285973	1
REN+A_45/0.49408/2	1.33146843	0
REN+A_48/0.49704/2	1.345017038	0
REN+A_5/0.45266/4	1.488394702	1
REN+A_50/0.49704/5	1.876700467	1
REN+A_51/0.5/5	2.186146528	1
REN+A_53/0.50296/1	1.66858868	1
REN+A_55/0.50296/2	0.651821853	0
REN+A_58/0.50888/4	1.753383538	1
REN+A_60/0.50888/5	1.213710941	0
REN+A_61/0.51183/3	1.221274088	0
REN+A_63/0.51479/6	1.233966395	0
REN+A_65/0.51479/4	1.334070255	0
REN+A_68/0.51775/2	1.390524706	0
REN+A_70/0.51775/4	1.547020119	1
REN+A_71/0.52071/3	1.239698842	0
REN+A_73/0.52367/3	2.215109428	1
REN+A_75/0.52367/5	1.241371947	0
REN+A_78/0.52663/5	1.349255539	0
REN+A_8/0.45858/1	1.705539635	1
REN+A_80/0.52663/2	0.910199254	0
REN+A_81/0.52959/5	1.073141256	0
REN+A_83/0.52959/5	3.534010214	1
REN+A_85/0.53254/4	1.24144192	0
REN+A_88/0.53846/7	1.084962097	0
REN+A_90/0.53846/3	1.682423356	1
REN+A_91/0.54142/4	1.005306648	0
REN+A_93/0.54142/6	1.234592229	0
REN+A_95/0.54438/8	1.447988665	1
REN+A_98/0.54734/5	1.061822264	0
